,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
stomp,0,720,34,358,1089,1199,15,170,7,10,12861,3888,26,3098,1227,789,583,55,23,67,19,3637,4046,1291,15213,5,119,3031,15541,2354,18317,2925,2764,96355,2133,251,43,20031,3591,119,279,4750,7447,86,52,234,336,1228,121,81,8863,725
stoop,0,30,5,37,99,7,2,14,0,0,30,3029,1,457,13,84,146,25,316,11,9,140,16119,361,1165,0,38,123,1460,177,197,1426,11,463,69,17,1,79,566,11,0,49,122094,13,3,32,67,794,6,40,968,66
stop,0,27929,1610,2545,148547,2852,1518,10028,171,307,13100,78640,232,845767,4132,9230,125315,7190,1109,8384,476,620625,28176,35676,515883,2,1144,65830,461716,12953,1933141,32500,22256,235850,39577,313,1083,9287,53115,1330,452,5279,736043,817,141,661,5031,11923,1237,2584,715239,27551
store,0,26481,858,15538,42179,756,1007,3841,381,499,26524,123515,579,136865,6610,11318,53280,3016,816,2612,407,51837,25841,16217,669865,2,39,37613,711597,7400,340883,170369,4997,223506,29341,973,11345,14220,16122,1043,316,6341,543272,5825,94,432,7688,31983,462,2034,296917,45323
storm,0,8883,654,764,5890,2358,665,541,181,73,3880,19185,121,18281,2002,3574,7031,751,212,799,97,10675,2185,2776,48598,635,256,14634,93008,9956,12391,186375,18148,33422,3806,463,72,25623,10598,417,134,4144,51566,1249,103,468,576,3454,801,399,32568,3656
stow,0,16,11,2,26,5,1,10,6,0,9,132,1,103,8685,28,30,28,17,7,0,19,18,9,277,0,9,45,1179,49,7216,33,7,582,479,4,0,35,16,0,1,4,262,2,0,1,172,54,17,4,99,16
straighten,0,22,5,1,145,11,3,12,0,0,18,406,0,261,19,1170,138,5,1,7,6,121,30,44,173,0,7,91,478,79,47467,39,27,199,455,2,0,57849,59,27,2,21,331,8,3,13,18,32726,1,4,403,104
stretch,0,1907,376,7446,14081,2351,451,1939,65,283,3894,28476,68,37723,1300,10159,23765,380,191,11108,3314,7834,2209,5974,104030,660,899,34557,68088,8599,150693,480756,1107,25863,3359,192,894,161936,10732,1479,73,2376,396545,375,398,1311,1079,6500,100,1005,25292,7388
stretcher,0,49,7,64,847,33,3,42,1,2,71,643,1,705,58,167,970,55,5,98,1,396,244,42,1995,2,5,644,2876,489,172,249,176,1077,83,82,2,941,214,23,1,169,2893,11,9,34,74,250,0,3,2124,128
strike,1,2112,926,1292,9245,96977,178,704,247,74,1392,34269,143,74290,4486,67658,10782,641,496,2280,186,18503,50858,4104,75729,97,372,40926,87518,6195,46666,27962,12471,103907,22568,721,126,123600,9397,269,282,28709,86521,1176,161,908,1278,128190,1049,637,69668,10156
string,0,1288,1805,1222,3459,1341,63,7713,84,178,15596,17629,311,17069,660,6684,4023,2224,1076,3760,60,6847,4627,972,28840,2,285,17788,51222,12961,18386,537591,3481,35778,2531,712,1203,9111,3204,170,267,7283,85581,61380,93,329,1528,14282,110,237,32731,3128
strip,0,4535,1152,2186,2173,528,54,3724,28,326,3319,9312,78,13252,58800,4177,3288,2163,438,2949,34,4544,60672,973,33025,0,19,12540,36836,4583,58917,140625,28843,35546,3161,294,687,46656,2168,129,66,1217,35634,315,57,196,2341,1536,47,236,20317,1766
stub,0,124,38,6,296,40,2,47,0,5,69,893,2,827,51,141,268,41,30,44,2,222,119,48,3780,1,2,3722,2528,286,2096,4057,222,1969,164,25,9,2268,83,5,14,71,3517,7,2,5,67,312,14,7,1785,73
stuff,0,641465,15331,9244,102821,16127,6780,34932,2238,8617,200966,564083,18387,518889,77228,163296,216757,41299,9608,28780,10643,136001,117881,63854,1400599,20,1301,1206513,2624163,165030,277552,205105,171572,1725358,16569,17435,6662,734169,139838,4366,1104,56018,2344747,124539,1041,5515,44456,643260,1269,21251,939000,160786
stumble,0,1420,17,100146,653,534,35,2818,35,6,15917,1450,14,2655,1466,6429,430,81,14,152,9,1372,2794,265,1930,24,1565,2092,14271,60718,463,432,1717,57353,154,18384,36,8611,25561,482,42,14556,7962,55,269,1080,275,1688,179890,27,2323,136
stump,0,364,41,66,503,175,5,63,6,14,261,1443,6,1568,78,158,981,243,117,78,5,635,295,250,8940,0,9,1331,6102,593,1087,6970,220,2662,179,37,15,1589,296,7,37,101,4372,30,5,33,176,7732,43,13,3936,151
style,0,4107,974,2133,13144,5111,144,2268,1239,383,6562,151428,1522,76501,777,12162,18667,1298,192,6319,756,25019,6331,9424,186667,7,467,65059,205545,13336,98384,2349892,5886,88862,22697,1242,4569,7582,43837,238,1015,4335,280697,990,214,1044,2489,8121,481,4707,157240,16288
subscribe,0,63,18,13,1602,8,21,22,1,4,47,3737,4,22887,76,13578,1443,5,305,34,27,1355,130,587,52220,0,1,4962,6644,203,3166,385,72,11304,356,14,4,255,1102,347,1,2189,1533687,13,8,26,180,115,14,23,3482,900
suck,0,6925,90,578,10401,12620,57,362,53,157,1953,97720,196,1309628,7081,3961,4650,410,112,494,1172,6868,14679,25108,296717,17,12,10081,187339,2752,1100890,7769,38986,429439,11068,314,38,45298,1738,263,20,2920,280545,2095,56,223,1111,191076,346,3673,82244,13551
suit,0,2480,223,213,8744,56711,55,911,223,402,2690,32550,281,29851,1048,5512,8805,1443,107,871,140,11065,1784,3586,115732,7,201,50311,113167,3721,27353,119511,8349,68385,6208,410,347,9369,8191,84,63,1405,110719,1181,47,211,4362,68891,161,404,107879,7737
sum,0,417,310,448,1512,224,40,171,68,7,292,5862,61,9103,114,1318,1083,42,86,598,54,3761,559,593,27623,0,15,10622,19654,3007,173722,631993,917,9408,998,66,12,1401,5927,26,18,330,45283,799,123,404,281,270542,231,433,4642,732
summon,0,414,63,76,3921,319,23,265,20,30,393,10380,62,9502,549,2027,2912,102,6813,222,94,2550,688,1744,44477,1554,42,16514,22761,1724,53035,9416,1436,39174,18260,118,53,2567,829,161,114,621,19902,181,12,49,236,14696,183,186,17484,2096
sup,0,297,6,8,185,80,5,22,4,2,54,807,3,1083,28,185,246,25,5,19,3,134,52,119,2314,0,1,1352,2567,96,656,706,49,1814,170,6,10,162,206,16,10,32,3591,47,0,1,35,396,196,18,11846,91
suss,0,558,2,1,34,10,0,0,0,8,21,825,0,353,4,5,13,0,2,2,0,19,3,15,187,0,0,76,172,4,4850,363,6,529,82,3,3,37630,15,0,2,128,764,1,0,1,3,57,0,22,107,9
swallow,0,860,8,6,2198,61,5,80,14,1,216,6023,5,5204,202,515,1754,11,1,60,4,990,1993,1262,19382,0,2,1193,5523,165,109988,2371,51,2288,3813,5,9,216,337,52,14,130,5122,36,1,9,64,11561,12,126,4204,3228
swan,0,557,21,49,239,22,6,41,38,2,1070,1168,6,1028,75,205,337,35,9,24,4,2618,118,181,1857,0,4,4150,6573,352,273,1430,685,2151,404,22,8,403,257,19,13,116,2530,49,9,12,48,176,8,46,1919,114
swarm,0,285,91,353,763,324,26,85,12,20,5751,3222,8,2828,201,444,791,199,45,64,13,1307,442,344,4629,29,61,2464,12129,2186,3106,135757,339,6091,593,339,17,2035,3090,98,58,555,12672,513,93,410,184,966,229,51,7479,640
swear,0,2499,20,24,3180,866,4,47,50,25,4406,7203,49,53400,489,1224,2588,109,9,553,44,253901,4021,3872,7157,1,2,1798,49597,894,276228,1416,24639,102559,11990,24,22,2625,1383,31,26,207,667032,48,13,90,2699,22600,1979,630,4840,1159
sweat,0,7009,136,177,6212,1021,15,214,40,12,967,13463,37,14968,4561,443,2636,313,72,790,25,4339,1756,3998,14527,0,4,36869,37443,5010,336654,24179,30528,38932,860,595,9,23171,8481,39,23,9565,21089,446,21,72,3237,2931,263,1574,9708,1155
sweep,0,225,53,5918,2529,2812,66,458,17,6,2698,3728,1905,7268,8456,2480,1772,413,31,339,17,4554,2263,600,12494,12,258,7271,27314,4145,59929,39298,2038,8613,1076,106,45,5144,5855,610,182,13220,27096,244,101,328,11767,26447,35,96,11734,1034
sweeten,0,4,0,0,111,0,1,3,0,0,3,240,0,128,3,12,56,0,0,0,1,55,2,14,80,0,0,32,166,5,12763,10,3,72,29,0,0,20,19,2,0,0,1410,0,0,0,0,2182,1,2,2916,93
swell,0,320,50,55,973,145,3,74,24,6,436,4143,10,2363,11,480,436,79,20,93,139,591,230,557,4396,8,5,1920,8625,1134,969,14857,160,2512,230,6,19,614,696,64,5,119,10512,84,18,95,293,46022,47,373,9466,259
swing,0,2174,694,3457,5068,5326,297,808,293,83,39639,16694,64,148249,18620,61144,5401,1082,212,10432,63,182389,10540,2528,76705,34,2194,45043,100293,16661,144810,116728,4491,51010,8334,791,9067,21026,12238,2559,1693,17201,66414,934,2503,10599,1370,10158,124,1825,57711,3408
switch,1,5107,1236,1361,25379,1410,211,2083,1081,967,44745,74397,390,72272,24471,400287,18337,2522,728,477165,231,17146,8133,9974,204961,64,442,431867,245393,64880,459010,28605,187464,256525,22243,9548,822,275994,270050,251,365,8517,3419905,1158,313,1495,4569,164635,432,1059,128227,16553
swot,0,2,0,0,2,0,0,0,0,0,1,20,0,21,13,0,6,1,0,1,0,3,1,2,74,0,0,7,59,2,71,48,0,54,1,0,0,7,1,0,0,0,51,2,0,0,0,350,1,0,19,2
syphon,0,15,8,1,14,2,0,0,0,1,10,158,0,53,127,80,18,1,1,6,0,28,10,25,231,0,0,207,248,128,566,148,1425,177,16,6,0,359,40,0,0,68,409,1,0,2,1,46,1,4,127,15
tack,0,220,16,49,284,276,1,73,8,4,172,1227,3,1538,198,678,252,26,110,119,3,341,1301,160,2237,0,2,1052,5477,766,13805,2558,389,144060,826,8916,5,321,343,10,5,294,7461,210,104,246,221,2217,13,43,2124,167
tag,0,1801,2048,410,6768,1015,50,125532,154,58,3504,101597,285,496961,1157,3583,8570,1032,1011,1336,7714,11761,1818,3661,250952,0,22,28627,1170433,65908,142910,59520,16493,308868,18410,6137,172,18454,5985,67,395,1136,356473,1048,21,100,3036,13076,359,424,59589,6985
tail,0,1710,374,418,3220,1388,43,524,68,95,6265,17947,124,14809,694,4467,3926,1940,146,36784,53,3404,4896,1394,24834,4,183,9200,38243,3624,17125,73947,30028,37565,1572,474,298,6565,2327,101,127,1819,41474,238,134,482,1345,7776,118,326,19520,2020
take,357,366790,2128,1467,62282,13244,1287,16093,537,92208,82666,454598,1244,305128,2404847,518997,103093,656,1287,28108,1421,31486,1147295,100093,854568,116,2905,413420,978775,1270215,13891472,131919,1694983,3274681,1489829,1356,5128,2679347,2162280,2293,3016,8701,1798488,4442,2447,8461,12102,1750127,8026,91735,256810,20712
talk,4,16745981,1435,1738,32023,7833,692,1918,6920,160,27653,117273,2489,166098,4587,88721,34082,15326,520,19742,1048,46087,163029,11129,269492,3,52,87902,425114,19313,258239,557783,5156,324190,11566,169,745,88461,111870,8228,598,104889,14974150,8684,280,1590,1780,45750,179,9983,1493690,35357
tally,0,193,58,57,607,340,8,43,40,2,96,1733,7,2355,24,110,379,45,40,194,15,1174,212,180,8132,32,3,1788,6619,222,4596,38037,182,7190,311,37,10,220,368,17,6,71,4484,51,21,85,193,26589,10,25,4223,147
tangle,0,78,12,9,123,26,1,16,3,12,494,901,0,472,10,38,138,21,10,117,8,239,43,108,761,0,11,286,2588,360,1014,15504,10,682,92,10,6,166,230,1,17,63,1120,372,1,6,29,3424,10,30,14379,157
tank,0,5155,2500,1156,25501,8265,353,2613,389,2380,7754,86605,610,80588,2722,9890,28194,4229,2112,2501,423,24254,9376,12798,273364,0,478,49621,281148,17784,73019,156316,11188,121245,14556,1608,1316,19626,12153,668,5962,15648,249154,2931,138,767,6723,36067,286,1709,301973,23447
tap,0,831,419,370,3111,1562,73,1805,31,55,2697,11508,34,28406,5448,4473,5283,282,271,774,41,2680,9438,1375,117009,2,1885,10884,77673,185975,117343,19296,10498,206705,6858,992,1296,96731,2066,197,117,4146,138235,335,46,204,605,5187,145,377,26691,2534
tape,0,3526,545,3870,5214,1771,91,3038,88,189,36437,22740,165,20027,1053,6269,9804,1031,318,2724,87,7340,10162,1580,63827,0,6174,31747,64494,4939,100977,80462,26832,176022,4806,1720,208,13060,75852,120,430,2346,161188,3429,45,169,4259,17366,88,361,41614,2932
taper,0,191,53,27,1255,21,24,168,7,1,373,3618,5,5485,257,1932,1316,28,1481,177,22,1091,31411,511,6604,0,13,7744,6228,1137,7119,4644,81663,9449,286,109,28,1983,1573,156,10,611,11000,48,282,998,193,2623,5,215,7134,632
tart,0,99,3,9,222,8,1,15,5,5,59,1257,3,1063,22,74,341,22,3,12,2,418,63,71,2384,0,10,1135,3279,1597,1151,1941,118,1116,300,25,6,376,177,2,5,41,2054,22,2,6,59,823,3,22,3528,275
tax,0,1127,1605,2585,7273,2127,105,1332,497,79,1307,59750,328,53062,1578,8994,5986,91,504,1310,483,24647,1826,6957,175270,0,40,34899,154037,6640,67830,50436,3236,685923,3257,1990,46,5689,7894,239,58,3922,167540,311,260,1366,4743,4694,2561,381,30085,6029
team,2,41397,11257,6484,136536,56362,43794,11184,2049,10132,198039,544656,5420,518614,13915,88060,123388,76000,6474,7676,4454,195477,83968,92450,1062337,10,5654,355401,2596844,87912,107596,1486693,31122,485062,33103,2715,2688,147108,106745,5091,2474,102378,2473258,102607,946,4807,37798,612486,1100,8328,1524617,154635
tear,0,2721,142,1004,5339,848,40,1123,30,70980,2767,11298,100,22559,14560,1080,2889,165,119,880,105,2182,264190,1232,35877,10,80,26579,80314,38765,190097,43232,45391,85847,4465,174,11890,40676,7110,248,90,58476,127474,168,47,226,763,396914,299,195,9031,1074
tease,0,4716,20,67,497,46,23,92,12,3756,575,2333,17,7034,949,1136,1961,40,17,263,22,1454,170,270,15671,6,3,3525,8069,423,17001,16718,91,3056,1379,4,42,32486,290,24,7,310,8052,25,43,265,48,342,13,72,9478,601
tee,0,345,72,22,738,30,19,91,17,23,179,3218,16,3131,48,349,845,203,55,93,5,901,209,284,11651,0,44,10156,20045,914,6628,2081,20136,7080,504,52,25,749,823,14,15,122,8651,83,7,25,2284,5284,3,73,14841,677
teem,0,3,1,1,4,1,0,2,0,1,8,42,0,21,2,6,8,4,0,2,0,8,5,3,82,0,0,25,127,4,15,121,4,78,6,1,0,13,13,0,0,6,130,7,0,0,2,77,0,0,1056,3
tell,0,112200,258,266,14620,582,1451,299,268,43541,3034,40220,526,80085,351,1439,9951,607,94,17224,906,422783,637,13871,125907,12,36,542791,133789,644,933605,59422,15267,99375,63179,20,221,3202,10005,1737,116,10780,66716,278,55,306,1889,2669,372,955,137632,72451
tense,0,4513,40,42,1732,177,7,64,49,9,2007,17362,23,7520,24,778,1237,70,8,2369,34,1266,261,1102,15613,1,5,3055,19334,227,4617,38964,36,3222,1068,11,13,291,907,113,146,387,10487,46,45,318,145,58134,47,440,6417,858
test,0,14508,2224,1386,39572,25448,926,2407,608,264,7200,93346,381,129430,2987,13668,82052,747,1042,8904,800,47228,2147,11976,751531,2,120,52694,278768,7806,1151235,491536,2966,284722,26851,309,719,306195,13981,494,1034,6208,472064,2530,117,465,6697,5710,1273,1291,228150,51056
text,0,71035,22918,2464,32160,2094,2517,5713,451,377,7352,97139,928,85288,2641,64220,50380,3059,31561,768488,728,20624,3171,6935,195766,5,103,318328,1349335,41226,49847,537591,5055,434007,8892,3337,438,14499,35779,312,84,7430,456259,1567,118,447,13849,7193,652,1307,148527,24675
think,3,17701567,5997,2095,245025,8188,54048,26245,3689,3031,74390,460897,4844,590522,2170,303144,268807,2993,2643,27961,33950,210986,10270,440415,1233565,100,3610,139750,1474445,6302,57512219,22202264,50157,395979,867767,507,15008,73949,72427,18750,3854,140034,1159257,3015,855,4171,19568,146095,4298,19308,572137,52235
thirst,0,101,9,16,1928,46,1,47,50,4,93,2018,86,1224,143,74,982,28,14,37,12,1704,133,321,107383,1,5,1276,7141,123,394,19635,70,2254,220,34,4,330,1428,4,6,102,8047,32,7,47,81,114,55,67,3491,389
thrash,0,3575,8,10,178,265,4,40,5,9,7344,943,5,1026,197,202,167,37,2,31,23,216,60,118,1214,0,32,779,2625,200,4067,585,51,2286,210,17,5,2075,106,8,7,234,1747,26,5,20,37,225,16,22,1557,192
thrive,0,24,117,134,2100,1078,9,214,326,28,670,13984,6,7492,141,129,298,245,19,137,284,4131,190,2759,7373,0,22,3115,142675,390,800,1053,26660,128641,174,3,5,470,861,84,2,1515,5362,1266,24,155,10849,227,797,60,16923,10219
throttle,0,301,280,80,3552,313,199,100,11,57,1023,7868,17,14904,234,9520,2491,60,442,416,66,2499,18183,1215,12178,1,1424,3258,15717,2268,12526,1770,1652,19826,441,58,3245,3370,731,345,16,1838,38222,128,87,375,2904,12241,69,529,8525,1693
throw,2,8666,476,3416,6596,14725,193,324,56,113,235133,37385,2871,393162,786661,61339,5096,3885,146,1063,597,26732,212316,7225,60508,114,1313,45020,1896178,72591,1725211,21788,175452,282223,93902,4345,6184,844532,20142,2111,475,2835,188135,59549,495,2746,8878,657727,344,2697,35718,3812
thrust,0,202,191,157,1100,1440,115,269,42,20,365,5944,349,9923,1521,4851,958,882,131,888,89,2529,2326,646,8373,231,4756,9003,23055,73561,9520,62818,470,11894,606,2081,234,4724,1212,93,7,2940,34729,569,403,1177,379,4566,30296,112,8490,1654
thumb,0,3267,589,4048,2532,4053,13,1740,728,153,7151,12946,45,18850,1210,4084,8017,2160,299,2344,42,2772,11955,973,89476,0,672,13119,74317,7568,6347,33592,17573,80806,1109,705,3118,11221,19940,163,93,11620,75832,1655,379,1288,3562,44558,101,393,25024,1782
thump,0,244,26,39,110,517,0,66,1,4,248,1397,1,789,99,132,114,188,11,24,1,427,281,52,686,0,5,1254,2476,236,1394,3838,120,3253,115,91,10,294,162,6,4,129,1772,23,1,6,79,567,16,6,780,94
tick,0,643,1266,104,2722,771,116,1132,22,122,365,5827,13,6684,4908,1411,3025,464,934,446,57,6819,16800,755,15201,0,266,5630,20066,777,9558,34659,33047,23193,2015,73,47,1644,6774,415,44,581,15133,105,106,397,1001,12975,70,115,5521,838
tickle,0,36,13,49,103,78,1,60,1,1,133,445,2,1052,150,174,147,121,15,101,5,117,1222,179,736,0,1,789,6052,52,3784,2225,49,2837,365,7,3,353,68,19,4,66,1303,4,5,10,302,187,10,33,1092,76
tide,0,147,25,88,649,4384,12,116,47,6,771,2941,18,6646,225,1228,825,109,30,131,20,2266,362,418,7957,0,3,2342,17799,656,1497,115081,272,7950,572,34,15,609,3562,17,35,376,12306,143,133,316,97,905,46,69,5068,436
tidy,0,367,11,8,418,37,4,24,3,17,371,5488,7,1094,330,145,701,69,10,50,5,1427,364,174,3413,0,6,342,3325,65,9927,476,41,1473,659,0,7,121,134,2,92,66,1696,36,0,2,98,59356,2,1569,2053,412
tie,0,527,191,288,3874,7108,40,409,493,47,10953,10379,50,20245,693,16222,2600,617,98,155859,66,3974,27847,1342,69970,0,17,6649,238044,102882,271075,5926,22757,33829,12214,946,132,5272,3201,94,347,1651,97092,31021,33,121,1276,149593,28,208,63465,3484
tighten,0,75,9,72,395,542,3,26,1,0,3781,2831,0,792,33,2562,276,24,5,61,32,661,10376,344,486,0,0,530,2182,376,64671,93,23,1851,1350,150,3,105,586,51,27,51,3416,70,12,64,148,123458,38,69,2118,175
time,4,278205,7586,17342,823768,103755,20629,24180,10865,66427,1543072,2555221,22983,1955310,265236,191280,1516018,33569,5061,549618,8347,653366,91041,259628,9439027,631,7143,540611,8342643,597474,5306039,5147943,1055244,4453784,222309,4977,6569,760376,214167,14434,104927,228945,34202517,497892,4383,21139,78343,83106,6108,11765,5752877,503779
tip,0,62438,2308,632,11746,4029,479,2491,127,111,4516,33005,226,61469,1909,7114,11722,439,1421,2836,328,9118,8168,6844,450246,1,2772,77735,119901,10666,49289,781345,72097,173194,6430,1264,275,43661,62050,347,226,3526,186107,224,8570,2534,2218,11509,253,1172,46873,3498
tiptoe,0,142,1,165,12,7,1,96,7,1,26721,85,0,109,282,194,11,36,0,54,3,147,180,11,145,1,37,56,614,653,84,33,22,707,14,15,0,413,345,276,113,5445,991,1,31,92,2,255,4,11,185,19
tire,0,773,153,325,3036,739,23,328,23,117,3803,9135,41,10745,498,2886,4233,332,106,490,75,3018,2770,1097,24787,0,91,10555,32025,2155,4699,89856,10918,52413,1310,702,123,35145,2549,115,87,756,31203,243,52,247,1779,4303,56,231,20242,2279
toddle,0,100,0,32,31,0,2,537,0,0,720,10,0,32,85,348,3,9,1,7,0,24,140,1,21,0,10,20,183,149,7,25,2162,528,1,12,1,81,305,19,7,41,145,1,5,27,4,121,0,2,32,7
tone,0,7311,788,2001,4744,1265,59,661,367,402,2711,51299,1223,20354,589,7025,4558,1420,358,6113,125,6906,209107,3617,136058,0,70,34898,108808,3877,198781,806074,1715,41957,2203,392,62,9605,9631,67,36,8338,122105,176,1334,5727,810,29877,152,620,51669,6063
tool,0,4336,789,551,4938,17283,44,1546,1549,205,12138,42713,294,35667,1667,2822,7594,614,504,1167,386,21794,1540,3687,754412,0,56,33884,276695,5200,20394,194819,2011,65967,2409,795,689,12686,4543,94,26,2474,813425,395,373,1368,2628,5389,147,450,52959,5543
tootle,0,44,0,4,2,0,0,98,0,0,210,5,0,5,9,9,1,0,1,2,0,4,19,1,8,0,0,2,13,4,13,12,63,48,0,2,0,6,8,7,11,7,16,0,0,0,0,7,1,0,23,1
top,0,13942,3527,821,25590,10696,651,3602,1699,376,4250,108015,367,68032,1073,18631,25143,1789,720,3808,194,48203,275611,13653,313235,13,2997,41260,279383,9100,515675,17330948,179325,135946,178945,1391,6966,79391,16361,1223,6984,6513,571626,3031,348,1586,9082,115264,162,6925,378253,22160
toss,0,19045,79,319,1531,720,26,63,13,31,30423,5154,7151,11628,12264,4657,1145,231,28,5889,17,1403,4864,617,7673,10,67,2812,208988,11692,280628,6691,4829,27810,13597,1157,105,93670,3301,34,40,576,20576,3125,63,270,490,279286,30,128,17716,561
tot,0,95,2,10,142,22,4,15,5,2,66,797,6,789,56,138,172,7,7,17,1,148,44,104,1337,0,1,293,7987,106,1315,827,58,831,131,9,36,134,229,12,18,31,1313,10,0,5,19,983,2,14,959,106
touch,0,5674,2208,423,15471,1353,300,804,134,100,7258,40019,168,26323,1552,8561,7947,1153,1387,1497,615,19889,39435,6579,60034,2,283,23233,61262,4322,672629,433753,9356,334869,29318,437,418,4297,14123,536,102,5814,115560,902,130,466,3562,122488,25021,840,1359786,7987
tow,0,429,48,84,582,83,6,263,6,8,1217,2048,4,2002,2991,1036,405,2482,11,110,16,546,275,264,3755,0,5,2633,4713,345,34478,1645,425,2677,891,31,7,956,589,23,31,197,11068,60,8,41,103,1486,10,113,6218,654
toy,0,665,228,415,3207,479,27,390,93,255,22292,13478,135,13638,6267,5668,4020,692,40,715,45,4500,1389,1188,69865,14,17,22287,57121,3801,4470,17004,1611,21447,2782,257,100,8222,2155,49,37,478,60367,610,17,141,1373,2557,44,148,97294,2297
track,0,10609,1634,2349,29438,3369,1465,3592,332,469,8416,68930,396,70765,1065,44024,19135,3034,1033,4116,474,50902,375132,7504,220051,2,1348,98035,189656,11385,193309,1829772,27249,201824,20310,1437,881,13900,14102,955,215,11280,383840,6914,1510,5385,2851,9453,182,2001,215467,16152
trade,0,3891,2333,5183,25424,11868,1256,3085,3014,153,12808,94238,497,94687,111888,121707,25673,553,1674,57122,609,31284,85595,15211,1549585,15,401,57023,747804,25394,515498,92904,436816,148273,88644,417,2192,49402,19100,490,221,15988,352268,2102,686,3362,5544,211757,385,1800,995583,33774
trail,0,3413,695,1890,4474,553,967,5348,77,27,6007,14063,81,18905,764,6233,4889,15246,421,3365,172,13029,6222,1240,45668,1,66,21297,71965,3645,6481,273575,20906,28976,1904,345,389,3930,3006,745,77,7759,70347,534,410,1383,830,8379,71,350,28046,3207
train,0,6952,734,3791,18409,12568,1247,2252,207,276,10052,67899,274,131453,4522,30309,25177,3344,364,8821,466,28088,12324,7323,286057,2,463,107810,232256,31314,104853,364894,4874,136907,20421,1225,425,23138,10509,1536,336,13005,422840,15443,605,3348,11153,63215,159,1914,254510,17531
treat,0,685,391,119,8333,421,168,238,89,30,836,39829,37,13910,873,1245,3459,492,70,544,117,2977,841,3652,95084,5,37,9731,32415,1153,866430,13184,544,15818,19314,108,377,3491,1555,208,41,692,84288,292,60,149,1197,1107,122,168,52361,2659
trespass,0,13,5,89,323,5091,0,18,9,0,29,617,1,675,17,17,65,10,1,12,42,881,10,116,957,0,0,245,3416,1993,185,944,16,12202,30,1388,2,36,133,7,1,250,5235,0,0,4,157,21,716,2,617,341
